Num,y
348622,1770.4142837767236
348623,36472.343061115615
348624,307804.5677539238
348625,39994.206440517766
348626,1770.4142837767236
348627,143784.11942235596
348628,92354.12797403896
348629,92936.98395420346
348630,105559.64382781506
348631,1770.4142837767236
348632,1770.4142837767236
348633,72094.90544989158
348634,301778.34443908127
348635,36881.78666512446
348636,1770.4142837767236
348637,198683.9477578551
348638,116043.93378424676
348639,368949.2840521517
348640,492579.8246829444
348641,1770.4142837767236
348642,123361.33856410561
348643,94706.42866582233
348644,1770.4142837767236
348645,36069.30208881654
348646,16561.627322671524
348647,133572.56392416832
348648,7571.562663291449
348649,36409.64476211262
348650,7571.562663291449
348651,36472.343061115615
348652,35845.46862898108
348653,281829.3231866886
348654,15206.911726927025
348655,36472.343061115615
348656,16561.627322671524
348657,1770.4142837767236
348658,68092.1722548102
348659,1770.4142837767236
348660,1770.4142837767236
348661,16561.627322671524
348662,7571.562663291449
348663,16775.881707860153
348664,1192160.0221694282
348665,101888.88636326295
348666,311789.862845917
348667,903539.87285253
348668,104242.38578635646
348669,41278.5603668041
348670,36273.77149048537
348671,1770.4142837767236
348672,67010.8324184816
348673,1770.4142837767236
348674,1770.4142837767236
348675,2521772.2616707683
348676,378584.12695406744
348677,15206.911726927025
348678,69887.85267905673
348679,305446.67786907015
348680,16775.881707860153
348681,1770.4142837767236
348682,38783.69760785017
348683,1770.4142837767236
348684,1770.4142837767236
348685,16561.627322671524
348686,160950.09369604738
348687,7840.9099148784435
348688,124851.07882337252
348689,16561.627322671524
348690,7571.562663291449
348691,231378.45436101154
348692,35204.28057183895
348693,176630.16660251174
348694,136878.67281745258
348695,133572.56392416832
348696,98557.85026112855
348697,92694.15898358225
348698,1770.4142837767236
348699,17122.34731305024
348700,16561.627322671524
348701,86537.79402666897
348702,16561.627322671524
348703,64856.33924101144
348704,91063.64563156823
348705,171117.03739213143
348706,121892.30799148824
348707,46837.72674590872
348708,15832.766466474866
348709,75117.76620726977
348710,91663.6613032325
348711,46412.976572158404
348712,7571.562663291449
348713,94155.01711343083
348714,93566.83193773589
348715,189821.34983428437
348716,16561.627322671524
348717,1770.4142837767236
348718,1770.4142837767236
348719,7571.562663291449
348720,16775.881707860153
348721,124122.81622680627
348722,1770.4142837767236
348723,1770.4142837767236
348724,17464.785594571702
348725,7571.562663291449
348726,7571.562663291449
348727,90797.28931654875
348728,314658.08516114636
348729,39570.443617659585
348730,889885.353762949
348731,295262.866182512
348732,39756.09154035383
348733,213283.65602227012
348734,1770.4142837767236
348735,2280855.1346315695
348736,73325.45663413877
348737,68202.89746234013
348738,614976.066842256
348739,448299.58888229786
348740,464758.8195298191
348741,1179370.045089326
348742,133813.5233689928
348743,128327.83279749224
348744,1770.4142837767236
348745,16561.627322671524
348746,1770.4142837767236
348747,16561.627322671524
348748,104186.21710254316
348749,7019.360352230478
348750,38077.22131320103
348751,383372.0594248561
348752,121210.89779538554
348753,513262.6196827607
348754,290278.74894054263
348755,112460.20499639752
348756,78277.573765619
348757,1770.4142837767236
348758,17812.643972068825
348759,289865.3219736125
348760,569052.0369879149
348761,297695.24638190214
348762,17464.785594571702
348763,37452.76059990856
348764,1770.4142837767236
348765,16561.627322671524
348766,133595.76223403437
348767,3546.069107273512
348768,1770.4142837767236
348769,94699.35611639652
348770,16561.627322671524
348771,1770.4142837767236
348772,1770.4142837767236
348773,137953.20688361066
348774,608101.8018339837
